Index,Date,Open,High,Low,Close,Adj Close,Volume
152,06/27/18,1136,1146.209961,1116.699951,1116.939941,1116.939941,1726900
153,06/28/18,1112.390015,1134,1106.069946,1126.780029,1126.780029,1486300
154,06/29/18,1132.310059,1141.359985,1127.02002,1129.189941,1129.189941,1578100
155,07/02/18,1115.349976,1142.98999,1106.599976,1142.109985,1142.109985,1160800
156,07/03/18,1149.420044,1149.910034,1114.430054,1116.280029,1116.280029,822400
157,07/05/18,1124.599976,1144.140015,1123.119995,1141.290039,1141.290039,1429700
158,07/06/18,1141.77002,1156.199951,1137.23999,1155.079956,1155.079956,1091000
159,07/09/18,1160,1167.930054,1157.22998,1167.280029,1167.280029,1079200
160,07/10/18,1169.98999,1173.5,1162.560059,1167.140015,1167.140015,1066700
161,07/11/18,1155.619995,1180.439941,1155.369995,1171.459961,1171.459961,1662600
162,07/12/18,1174.859985,1201.98999,1173.099976,1201.26001,1201.26001,2207400
163,07/13/18,1202.800049,1210.439941,1195.290039,1204.420044,1204.420044,1630600
164,07/16/18,1203.810059,1208.709961,1193.400024,1196.51001,1196.51001,1339200
165,07/17/18,1182.73999,1218.76001,1182,1213.079956,1213.079956,2008100
166,07/18/18,1208.530029,1221.589966,1204.560059,1212.910034,1212.910034,1947400
167,07/19/18,1206.650024,1216.47998,1197.72998,1199.099976,1199.099976,1916900
168,07/20/18,1199.23999,1210.77002,1196.589966,1197.880005,1197.880005,1896900
169,07/23/18,1195.660034,1215.099976,1192.01001,1211,1211,3272300
170,07/24/18,1271,1275,1244.140015,1258.150024,1258.150024,5380000
171,07/25/18,1252.619995,1278.23999,1249.050049,1275.939941,1275.939941,2555200
172,07/26/18,1267.180054,1287.400024,1263,1285.5,1285.5,2734300
173,07/27/18,1289.119995,1291.439941,1244.48999,1252.890015,1252.890015,2418100
174,07/30/18,1245.050049,1252.890015,1224.170044,1230.040039,1230.040039,2194800
175,07/31/18,1231.709961,1241.209961,1216.189941,1227.219971,1227.219971,1969100
176,08/01/18,1239.109985,1245.900024,1224.939941,1232.98999,1232.98999,1849700
177,08/02/18,1218.5,1244.410034,1218.060059,1241.130005,1241.130005,1735200
178,08/03/18,1245.180054,1246.52002,1229.420044,1238.160034,1238.160034,1063200
179,08/06/18,1241.609985,1242.459961,1230.530029,1237.670044,1237.670044,1105700
180,08/07/18,1252.01001,1266.079956,1251.800049,1255.839966,1255.839966,2125300
181,08/08/18,1256.719971,1271.719971,1252.119995,1261.329956,1261.329956,1717200
182,08/09/18,1262.72998,1271.959961,1260.099976,1264.459961,1264.459961,1365700
183,08/10/18,1259.180054,1261.199951,1247.160034,1252.51001,1252.51001,1330100
184,08/13/18,1251.199951,1265.969971,1247.030029,1248.640015,1248.640015,1375000
185,08/14/18,1252.5,1260.589966,1239.540039,1258.140015,1258.140015,1404000
186,08/15/18,1244.280029,1251.97998,1226.23999,1232.219971,1232.219971,1852600
187,08/16/18,1241.98999,1243.699951,1219.630005,1224.060059,1224.060059,1608800
188,08/17/18,1222.040039,1226.949951,1204,1215.849976,1215.849976,1654600
189,08/20/18,1220.660034,1225.910034,1208.699951,1221.949951,1221.949951,1110900
190,08/21/18,1223.02002,1232.76001,1215.030029,1217.410034,1217.410034,1154100
191,08/22/18,1214.219971,1226.530029,1213.219971,1221.75,1221.75,1114800
192,08/23/18,1219.880005,1235.170044,1219.349976,1221.160034,1221.160034,1233300
193,08/24/18,1226,1237.400024,1221.420044,1236.75,1236.75,1222700
194,08/27/18,1244.140015,1257.869995,1240.680054,1256.27002,1256.27002,1429000
195,08/28/18,1255.900024,1256.560059,1242.969971,1245.859985,1245.859985,1366500
196,08/29/18,1255,1267.170044,1252.800049,1264.650024,1264.650024,1846300
197,08/30/18,1263.400024,1269.48999,1247.209961,1254.439941,1254.439941,1505200
198,08/31/18,1252.209961,1252.550049,1225.75,1231.800049,1231.800049,2115400
199,09/04/18,1222.52002,1227.869995,1206.560059,1211.310059,1211.310059,2072900
200,09/05/18,1209.219971,1214.869995,1175.339966,1199.099976,1199.099976,2699400
201,09/06/18,1198.569946,1198.98999,1163.609985,1183.98999,1183.98999,2342700
202,09/07/18,1172,1188.550049,1169.27002,1177.589966,1177.589966,1632900
203,09/10/18,1184.199951,1186.660034,1170.609985,1175.060059,1175.060059,1383500
204,09/11/18,1171.099976,1190.939941,1165.949951,1189.98999,1189.98999,1462700
205,09/12/18,1182,1190.689941,1166.160034,1171.599976,1171.599976,1785800
206,09/13/18,1179.699951,1187.859985,1169.219971,1182.140015,1182.140015,2003400
207,09/14/18,1188,1188,1173.52002,1177.97998,1177.97998,1208800
208,09/17/18,1177.77002,1181.819946,1158.459961,1159.829956,1159.829956,1704800
209,09/18/18,1162.660034,1181.329956,1161.430054,1167.109985,1167.109985,1615700
210,09/19/18,1168.959961,1176.27002,1158.619995,1174.27002,1174.27002,1298100
211,09/20/18,1180.670044,1194,1176.25,1191.569946,1191.569946,1462200
212,09/21/18,1194.920044,1196.579956,1172.060059,1172.119995,1172.119995,4561100
213,09/24/18,1159.410034,1185.189941,1151.5,1179.560059,1179.560059,1557500
